ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3e,Yamaha,XVS650A DRAG STAR CLASSIC-VM041/649
L3,Derbi,ATLANTIS 100-AT1A1A/84
L3,Yamaha,FZS1000-RN061/998
L3,Suzuki,GSX-R750-BD1112/749
L3,Honda,CB600F HORNET-PC34A/600
L3e,Kawasaki,1400 GTR
L1e,Peugeot,XPS
L3,Kawasaki,Z1300
L1,Tunturi,Hopper
L3e,Kawasaki,ER-6N ABS
L3,Honda,NX650
L3,Honda,CB 450
L1e,Peugeot,S1AAAA/50
L3e,Siamoto,FAVOURITE 125-FV30/124
L3,Ducati,MONSTER 800-M406AA/803
L1,Solifer,EXPORT TOMOS
L3,Honda,CB750K
L3e,Harley-Davidson,FLSTNI SOFTAIL DELUXE
L1,Peugeot,SPEEDFIGHT M-S1B0KA/49
L3,Yamaha,FJR1300A-RP085/1298
L3,Kawasaki,NINJA ZX-10R ZXT00C/998
L3,Honda,CB 500 FOUR
L1e,Veeroad,FREEMOTION
L3,Yamaha,XVS650 DRAG STAR-4VR/649
L3,Kawasaki,ZZ-R 600-ZX600E/599
L1e,Rieju,MRX
L3,Moto Guzzi,V11 LE MANS-KTA02/1064
L3,Yamaha,YP125D MAJESTY-SE061/124
L3,Honda,CX-500
L3e,Suzuki,DR-Z400SM
L3,Aprilia,ATLANTIC 200-SPA02/198
L1,Tunturi,Start-VS50KX/49
L1e,Branson,GLANS POWER FY50QT
L3,Harley-Davidson,XLH SPORTSTER 883-CAM/883
L3,Kawasaki,ZRX1200
L3e,Kawasaki,VN 1600 CLASSIC TOURER
L3,Honda,XL 500 S
L3,MZ,Es 175/172
L3,Honda,XR125L-JD19A/124
L3e,BMW,G 650 XCHALLENGE
L3,Yamaha,XVS125 DRAG STAR-VE01/124
L3,MBK,THUNDER
L3,Kawasaki,ZX-12R
L1,Tunturi,Start
L3,Aprilia,RS 125-SFA00/125
L1,Tunturi,MAXI-PUCH VS50 LF3/49
L1e,Qingqi,QM50QT-6
L3,Suzuki,VL800 INTRUDER VOLUSIA-BM1111/805
L3e,Harley-Davidson,FLSTFI FAT BOY
L3e,Harley-Davidson,FLSTF FAT BOY
L1e,Motorhispania,FURIA SUPERMOTARD
L3e,KTM,625 SMC
L1,Derbi,PREDATOR-PREDAB/49
L3,Suzuki,GSF1200-A91121/1157
L3e,Harley-Davidson,FXD35 ANNIVERSARY SUPER
L3,Yamaha,DIVERSION 900
L3,Suzuki,GS125
L3e,Harley-Davidson,FLSTC HERITAGE SOFTAIL CL
L3e,Harley-Davidson,FLHT ELECTRA GLIDE STANDA
L1,Aprilia,HABANA 50 COUSTOM-PKD1/49
L3,Suzuki,TL 1000 S
L3,Honda,VT 700 Shadow
L3e,Piaggio,VESPA PX 150
L3e,Suzuki,GSX1300BK
L3,Yamaha,XVS1100 DRAG STAR CLASSIC-VP16/1063
L1e,CPI,SUPERCROSS
L3,Suzuki,Intruder 700
L1e,Gilera,SMT G12A1A/49
L3,Harley-Davidson,FXSTDI SOFTAIL DEUCE-JBB/1449
L1,Gilera,ICE-C30/49
L1,Piaggio,VESPA 50 ET4-C26100/50
L1,Piaggio,NRG PUREJET-C32200/49
L3,BMW,K 1200 RS-0547A/1171
L3,Kawasaki,ZX-6R
L3e,Yamaha,YBR125
L3e,Yamaha,FZ6-RJ074/600
L1,MBK,OVETTO YN50-SA152/49
L3,Ducati,SUPERSPORT 800-V502AA/803
L3e,Kawasaki,Z1000
L3e,Derbi,MULHACEN 659
L3,Honda,HONDA
L3e,Ducati,ST4S
L3e,KTM,KTM 125 EXC
L3,Kawasaki,VN 800 CLASSIC
L3e,Yamaha,XT660R
L3e,Yamaha,MT01
L3,Kawasaki,W 650-EJ650A/676
L3,Honda,NT650V DEAUVILLE-RC47A/647
L3,Jawa,590-00/248
L1e,Gas Gas,GAS GAS ROOKIE
L1,Yamaha,EW50-SA091/49
L3,Suzuki,VZ1600-VNT60BC/1553
L3,Honda,CBR600F-PC35/599
L1,Kymco,FILLY-SD10AC/49
L3,Suzuki,SV650S-AV1113/645
L3e,Harley-Davidson,FXSTC SOFTAIL CUSTOM
L3,Honda,VT750DC BLACK WIDOW-RC48A/745
L1,RMZ,PM3-2.130 MINI
L3,Aprilia,PEGASO 650 IE-RW000/652
L3e,Suzuki,SV1000S
L3,Kawasaki,KLR650
L1e,Tunturi,START-PUCH
L3e,Aprilia,MOJITO 125
L3,Kawasaki,450 LTD
L3e,CF Moto,E-JEWEL
L1e,Hyosung,RALLY
L3e,BMW,K 1200 R
L1,Derbi,DRD SM-SDR1HB/49
L1,Peugeot,S1A0KF/49
L3,Harley-Davidson,FLSTC
L3,Yamaha,XVS650 DRAG STAR-VM031/649
L3,BMW,R 1150 R-0429A/1130
L1,Tunturi,Tiger
L3,Piaggio,VESPA PX200E-M18/198
L1,Suzuki,KATANA AY50-AAJ111/49
L3,Gas Gas,EC 125
L3,Ducati,MONSTER 600-M300AA/583
L3,Honda,CBR600RR-PC37B/599
L3,Suzuki,SUZUKI (J)
L3,Triumph,TT600-TH800S/600
L1,Piaggio,NRG EXTREME F.L. H2O-C22/49
L3,Harley-Davidson,FXSTB NIGHT TRAIN-BTY/1449
L1,Tunturi,LF2-68/49
L3e,Harley-Davidson,FXDXI DYNA SUPER GLIDE SPORT-GRW/1449
L3,KTM,450 EXC-RCA4/447
L3,KTM,200 EXC-GSA2/193
L1,Tunturi,Start Puch
L3e,Triumph,SCRAMBLER
L3,Kawasaki,EN-EN500A/498
L1e,Piaggio,LIBERTY 50-C42100/49
L3e,Husqvarna,WRE 125
L2,Piaggio,APE 50-C80/50
L1,Tunturi,HOPPER MORINI FRANCO FM-T4/49
L3,Suzuki,GR 650-GP51A/651
L3e,Harley-Davidson,XL 883C
L1e,Peugeot,FB50QT-6A
L3,Piaggio,VESPA GRANTURISMO 200L-M3
L3e,Honda,FMX650
L3e,Harley-Davidson,VRSCD NIGHT ROD
L3,Harley-Davidson,FXSTC SOFTAIL CUSTOM-BKL
L3,Honda,CB600F HORNET S
L3,Harley-Davidson,HARLEY-DAVIDSON(USA)
L3e,Triumph,DAYTONA 675
L1e,Aprilia,RX50 R-STC00/50
L1e,Rieju,RR-E2/49
L3e,Suzuki,GSX600F
L3,Yamaha,YZF1000R-4SV/1002
L3e,Yamaha,DT125X
L3,Suzuki,GS 450 E
L1,Piaggio,TYPHOON X-C19/49
L3,Suzuki,GSX 400 S
L3,Yamaha,XJ 900
L3,Kymco,ZING 125 II-RF25BA/125
L1e,Baotian,OUBAO49
L1,Derbi,Senda
L3,Honda,CBR900RR FIREBLADE
L3,Yamaha,XV 1600 Wildstar
L3,Triumph,TRIDENT T 150/741
L1,Honda,Z50J-AB02/49
L1,Tunturi,Sport Puch
L3,Kymco,VENOX 250-R2/249
L1e,SYM,JET 50
L3e,Honda,VFR800A
L3,Suzuki,DL
L3e,Hyosung,AQUILA
L3,BMW,R1100S-0422A/1085
L3,Suzuki,VL250 INTRUDER LC-A51312/248
L3e,BMW,K 100
L3e,Yamaha,YP250R
L3e,BMW,K 1200 R SPORT
L3,Yamaha,TWIN JET 100
L3e,KTM,400 EXC
L3,Kawasaki,er 500 a
L3,Yamaha,XJR1300-RP021/1251
L3,Yamaha,YZF-R1-RN095/998
L3,Honda,FJS600 SILVER WING-PF01A/582
L3,Daelim,VT125F EVOLUTION/124
L3e,Yamaha,XT125SM
L3,Yamaha,TT600R-DJ012/595
L3e,Royal Enfield,BULLET 500 ES 5SG
L1e,Huatian,HT50QT-25
L3,Sunbeam,S7/487
L1e,Peugeot,S1AACA/50
L3,Harley-Davidson,VRSCA V-ROD-HAZ/1131
L3e,Kawasaki,ZRX1200R
L3e,CF Moto,V3
L3,Triumph,BONNEVILLE T100-TJ902T/790
L3e,Harley-Davidson,FXDL DYNA LOW RIDER
L3,Yamaha,WR250F-CG16W/249
L1,Peugeot,TREKKER-S1A0KF/49
L1,Tunturi,Tunturi LF2-66/49
L3,Honda,XL350
L3,Simson,425 Sport/247
L3e,Ducati,MS2R1000
L3,Honda,CB600F HORNET
L3e,Derbi,SENDA SM 125
L3e,KTM,950 SUPERMOTO
L1e,Malaguti,PHANTOM F-12-46/49
L1,Tunturi,MAXI-PUCH VS50 LF
L1,Honda,MONKEY Z50J
L3,KTM,125 GS
L3e,Harley-Davidson,XL SPORTSTER 883R
L1,Helkama,Raisu-Minarelli P4E/49
L3e,Ducati,M695
L3,Honda,CB500-PC32A/499
L3,Jawa,350 STYLE-640-1/343
L3e,Yamaha,DT125RE-DE061/124
L1,Aprilia,SCARABEO 50-SCA01/49
L3,Ducati,MTS1000-A100AA/992
L3e,Harley-Davidson,FLSTI HERITAGE SOFTAIL
L3e,Aprilia,ATLANTIC 250-SPB00/244
L3e,Suzuki,GSX-R750-B31111/749
L3,Aprilia,HABANA 125-PM01/124
L1,Derbi,GP-1-PREDWB/49
L3,Triumph,SPEED FOUR-FH801S/600
L3e,Masai,MASAI 125
L1e,Piaggio,VESPA ET2 50
L3,Yamaha,YZF-R6-RJ03/600
L3,Ducati,MONSTER S4-M400AA/916
L3e,Triumph,THRUXTON 900-TJ9142/865
L3,Peugeot,A2ABJB/125
L3,BMW,R 80/7 S
L3,KTM,400 LC4-GSF4/398
L3e,Harley-Davidson,FLHTCUI ELECTRA GLIDE ULTRA CLASSIC-FCW/1449
L3,Kawasaki,VN 800 DRIFTER-VN800C/805
L3,Ducati,MONSTER 620 DARK-M4-03AC/618
L3,Suzuki,SV650-BY1111/645
L3,BMW,F 650 GD
L1,Honda,SRX 50
L1,Tunturi,Maxi
L3,Yamaha,XS 650
L3,Harley-Davidson,SPORTSTER 883
L3e,KTM,KTM 450 EXC
L3,Yamaha,FZS600-RJ02/599
L3e,Kymco,QUANNON
L3e,Husqvarna,SM 610
L3e,Derbi,GPR 125
L3,Honda,CB 900 F-SC01/901
L3,Honda,CB 750 K-2
L1,Suzuki,PV 50
L3e,Honda,XR125L
L1e,Piaggio,ZIP CATALYZED
L3,Honda,CB 360
L3e,KTM,200 EXC
L3e,Harley-Davidson,XL 53C CUSTOM 53-CJM/883
L3,Kawasaki,1000 GTR-ZGT00A/998
L1,MBK,MACH G-CS50-SA222/49
L1e,Rieju,MRX-11
L3,Honda,VT500
L3,Kawasaki,Z1300-6-ZG
L1e,Baotian,BT50QT-11
L1e,Kymco,PEOPLE S
L3,HUONIAO,HUONIAO RED ARMY
L3,Piaggio,X9 180-M23300/182
L3e,BMW,F650GS-0175A/652
L3,Kawasaki,ZX-6R-ZX600G
L3,Yamaha,Drag Star
L3,Honda,XL650V TRANSALP-RD10A/647
L3e,BMW,F 800 ST
