ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3e,Honda,VTX 1800
L1,Tunturi,START-PUCH VS50KX/49
L3,Kawasaki,KS 125
L3,Suzuki,GSX-R1000-BL1112/988
L1e,Kymco,PEOPLE-B120/49
L3,Honda,XL600V TRANSALP-PD10
L3,Husaberg,HUSABERG 650 FS
L3,Aprilia,ETV 1000 CAPO NORD-PS000/998
L3e,KTM,950 ADVENTURE-VA44/942
L1,Peugeot,SPEEDFIGHT LCDP-S1B0KB/49
L1,Tunturi,Trial-Puch
L3e,Harley-Davidson,FLHTCUI ULTRA CLASSIC
L1,Jincheng,JC50Q-8/49
L3,Moto Guzzi,CALIFORNIA SPECIAL-KD/1064
L1,Suzuki,SOLIFER -PV50/49
L1e,Kymco,VITALITY
L3,Yamaha,YZF R 6
L3,Peugeot,G2AC00/150
L3e,Harley-Davidson,FLHX STREET GLIDE
L3,Triumph,DAYTONA 955I-595-TE520V/955
L3,Honda,XL 600
L3,Honda,CB 900 C
L3,Ducati,ST4-S2/916
L1,Tunturi,LF 2
L3,Ducati,MONSTER 620-M4-03AC/618
L1,Solifer,SM 77-TOMOS 4V/49
L3,Yamaha,YZF600R-4TV
L1,SKYTEAM,02/49
L3,Triumph,TIGER-TG720W/955
L3,Honda,CB 750F
L1,Aprilia,SR 50-MZB1/49
L3,Aprilia,SCARABEO 500-RT002/459
L1,HUONIAO,TYSCON HN50
L3e,Kawasaki,VN 1600 CLASSIC
L1,Gilera,RCR 50-SDR1EB/49
L3,Vespa,Super Sport 180
L3,Ducati,MONSTER 1000-M404AA/992
L3,Harley-Davidson,FLSTC SOFTAIL CLASSIC-BJL/1340
L1e,Yamaha,JOG R CS50
L1,Peugeot,ELYSEO 50M-G1AAK-NL/49
L3e,BMW,R 1200 S
L3,KTM,640 LC4-GSL4/625
L3e,Harley-Davidson,XL 53C CUSTOM 53
L1,Bultaco,LOBITO-SENDEA/49
L3,Yamaha,XV 1100 VIRAGO
L3e,KTM,KTM 525 EXC
L1,Gilera,RK 50 CANNIBAL-C08/50
L3,Ducati,998-H200AL/998
L3,Honda,CBX 1000 Z
L3,Ducati,996-H200AB/996
L1,MBK,MACH G LC CS50Z-SA227/49
L3,Yamaha,XS 650 Heritage
L3,Yamaha,XV535
L1,Peugeot,FOX LN-T057/49
L1e,Masai,MASAI 50
L3,Suzuki,GS500
L1,MBK,OVETTO YN50-SA212/49
L3e,Harley-Davidson,FLHRSI ROAD KING CUSTOM
L1,Aprilia,HABANA 50 CUSTOM-PKE1/49
L1,Tunturi,START-PUCH VS50KX
L1,Tunturi,SUPER SPORT
L3,Suzuki,GSX-R750W
L1,Derbi,SENDA SM-SDR1FB/49
L1e,Peugeot,LUDIX
L3,Yamaha,YZF-R1-RN091/998
L1,Honda,Monkey Z50
L1,MBK,NITRO YQ50-SA145/49
L3,Siamoto,SK01/124
L3,Piaggio,SKIPPER LX 125-M12/124
L3,Harley-Davidson,FLSTF-BML/1340
L3,Kawasaki,Z1000-ZRT00A/953
L1,Suzuki,Love
L3,Honda,SHADOW VT 600
L3e,Buell,XB12S
L3,Kymco,GRAND DINK-S4/249
L1,Tunturi,Autostart-Buch
L3,Buell,XB112R-AX14J/1202
L3,Kymco,MOVIE 125-S50010/125
L3,Moto Guzzi,V11 SPORT NAKED-KT002/1064
L3e,Keeway,ARN
L3,Yamaha,FZX750
L3e,Suzuki,GSF1200SA
L1e,Peugeot,XPS SM-DV0C/49
L3e,Buell,BUELL LIGHTNING LONG
L3,Suzuki,GS500-BK1111/487
L1,Tunturi,CITY
L3,Harley-Davidson,SOFTAIL CLASSIC
L1,MBK,FLIPPER-SA035A/49
L3,Yamaha,XVS650A DRAG STAR CLASSIC-VM02/649
L1e,Peugeot,S1C0EA/49
L3e,Ducati,1098
L1,Tunturi,L�hetti automat
L3,Yamaha,XVS1100
L3,Honda,CB900F HORNET-SC48A/919
L3,BMW,F 650 CS
L3,Suzuki,AN400 BURGMAN-AU1111/385
L3e,Ducati,GT1000
L1,Gilera,DNA 50-C27/49
L3e,KTM,300 EXC
L3e,BMW,R 1200 ST
L3,Buell,XB9S-SX12J/985
L3e,Ducati,749S'04E
L3e,Kymco,GRAND DINK
L3,BMW,F 650 GS
L3,Honda,CBX 750 F
L3e,Yamaha,TDM 900
L3,Suzuki,AN650A BURGMAN-BU1321/638
L3e,KTM,KTM 990 SUPERDUKE R
L3,Yamaha,XV 1000 Virago
L3e,Yamaha,MT 03
L3e,Yamaha,XG250
L3e,Harley-Davidson,FXSTB NIGHT TRAIN
L1,Peugeot,TREKKER URBAN BLACK-S1A0KF/49
L3e,Harley-Davidson,FLSTCI HERITAGE SOFTAIL C
L3e,Yamaha,XT660
L3e,Piaggio,VESPA ET4 125
L3,Harley-Davidson,XLH SPORTSTER 883
L3,Honda,HONDA CBR600
L3,Triumph,SPRINT ST-695
L3,Honda,CB 750C
L3,Aprilia,LEONARDO 250-PD00/249
L3,Malaguti,MADISON 125-53/124
L3e,Sachs,XTC
L3e,Piaggio,VESPA LX 125
L3e,Yuan,XGJ125-23
L3,Harley-Davidson,Night Train
L3,Honda,XL 600R
L3,KTM,400
L3,BMW,R 1200 CL-0442A/1170
L3e,KTM,950 ADVENTURE S-VA44/942
L3,Suzuki,INTRUDER 750
L3e,Benelli,TNT 1130
L3,Harley-Davidson,XL 883 R SPORSTER-CKM/883
L3,Honda,CBR900RR-SC50A/954
L3,Harley-Davidson,FLSTCI SOFTAIL CLASSIC-BWB/1449
L3,Suzuki,VX800
L3,BMW,K 1200 GT-0548A/1171
L3e,Honda,NT700VA
L1,Yamaha,DT50X
L3e,Cagiva,MITO 125
L3,Suzuki,INTRUDER 1400
L3,Aprilia,RS 125-SFD00/125
L3,Suzuki,TS 125X
L3e,Suzuki,GSX-750R
L3e,Harley-Davidson,VRSCA V ROD
L1,Piaggio,NSP 50 2T-C25100/49
L3,Yamaha,YZF600R
L3,Honda,NSS250 JAZZ-MF07A/249
L1,Standard Moto,NAVIGATOR NGF50/49
L3e,Harley-Davidson,FXSTI SOFTAIL STANDARD-BVB/1449
L3e,KTM,625 SXC
L1,Honda,MONKEY
L3,Gilera,124 Extra
L3e,Peugeot,SATELIS
L3,Jawa,18
L3,Honda,900 CBR-SC33
L3,Malaguti,MADISON 250-54/250
L3,BMW,K100RT
L3,Cagiva,MITO 125-N300AA/124
L3,Jawa,634-5
L3,Honda,VTR1000F-SC36A/996
L3,MBK,SKYLINER YP250-SG0420/250
L3,Jawa,JAWA 353-07/248
L3,Kawasaki,1000 GTR
L3,Honda,SUPER SPORT CBX
L3,Yamaha,XV535-VJ01/535
L3e,Yamaha,WR250F
L1e,Rieju,RR SPORT-E2/49
L1e,Baotian,BT49QT-12
L3e,Yamaha,FJR1300A
L1e,Peugeot,XPS TL-DV0C/49
L3,Harley-Davidson,FXDWG WIDE GLIDE-GEV/1450
L3,Suzuki,GSX-R1100
L3,Kawasaki,ZX-12R-ZXT20A/1199
L3,Aprilia,RSV 1000-RP000/997
L3,Honda,GOLD WING GL1500-6-SC22/1520
L3e,Moto Guzzi,NEVADA CLASSIC
L1,Tunturi,Autostart
L3,Husqvarna,SILVERPILEN CROSS
L3e,Suzuki,GS500FU-BK4221/487
L1,Gilera,H&K C33100/49
L3,Kawasaki,ZZ-R1200
L3,Honda,CBR1000F
L3e,Honda,CB 350 K4
L1,Honda,Monkey
L1,Suzuki,S1
L3e,Kymco,AGILITY125
L3,Triumph,DAYTONA 955I-595-TE520V/9
L1,Tunturi,TP
L3e,Honda,CB600F HORNET-PC36A/600
L3e,Jawa-CZ,JAWA CZ
L3,Honda,CBR 600 F
L3,Vespa,P200E-VSXIT
L3,Triumph,THUNDERBIRD-309-TC339J/885
L3,Suzuki,GS500U-BK3111/487
L3,Harley-Davidson,FXD DYNA SUPER GLIDE-GHV/1449
L3,Honda,Gold wing
L3,Yamaha,VMX1200-2WE/1189
L3,Suzuki,GSF1200S BANDIT
L3e,Buell,XB9SX
L3e,Yamaha,YP125R
L3e,Yamaha,AG175
L1,Camping Ktm,EFTA
L3,Triumph,SPRINT RS-695-TF605M/955
L3,Honda,CBR1100XX
L3,Harley-Davidson,FLH CLASSIC-80
L3,Honda,CB450
L3,Aprilia,SR 125-PX00/123
L3e,BMW,R 1150 RS
L3e,Kymco,AGILITY 125
L1e,DADYW,REGAL RAPTOR
L3e,Harley-Davidson,FLHRSI ROAD KING CUSTOM-FYW/1449
L3,BMW,R 850 GS-0403D/848
L3e,Suzuki,GSF600S
L3,Harley-Davidson,XLH SPORSTER
L3,Yamaha,TZR 250
L3,Honda,CB 350
L1,Derbi,ATLANTIS-ATL0EA/49
L3,Honda,VFR800FI
L3,Kawasaki,VN 1600 CLASSIC VNT60A/1553
L3,Harley-Davidson,FLSTC SOFTAIL CLASSIC-BJY/1449
L3,Kawasaki,ZR900R
L1e,MBK,BOOSTER-NEXT GENERATION CW50RS-SA057/49
L3e,Beta,RR MOTARD 125CC 4T
L3e,KTM,660 SMC
L1,Suzuki,Solifer-PV50/50
L3,Suzuki,GSX-R 1100
L3e,CPI,HUSSAR
L3e,Suzuki,SV650
L3e,TM Racing,TM RACING
L1,Tunturi,MAXI
L3e,Harley-Davidson,FXSTDI SOFTAIL DEUCE
L3e,Buell,BUELL LIGHTNING SUPER TT
L3e,Derbi,NUDE 125
L3e,BMW,K 1200 LT-0549A/1171
L3,Honda,NX650 DOMINATOR-RD02/644
L1e,Jupiter,Öglaend-SAFIR
L3,Harley-Davidson,FXSTD SOFTAIL DEUCE-BSY/1449
L1,Tunturi,Start-Puch VS50KX /49
L3,Honda,CBR 1100 XX BLACKBIRD
L3,Harley-Davidson,Sportster 1100
L1e,Rieju,MRX-13/49
L1,Tunturi,Pappa
L3,Kawasaki,ZRX1200S
L3,Honda,VT 500C
L3,Piaggio,X9 500-M27/459
L3,Honda,VTR1000SP-1-SC45A/999
L3,BMW,R 1150 GS ADVENTURE-0441A/1130
L3e,KTM,KTM 250 EXC-F
L3e,Harley-Davidson,XL 1200R SPORSTER ROADSTER-CLP/1202
L1,Tunturi,LF2 64/49
L3e,Triumph,AMERICA
L3,Triumph,SPRINT ST-695-TF650X/955
L3,Honda,VFR 750 F
L1,CPI,JR45/49
L3,Honda,CBR900RR-SC44A/929
L3,Honda,VF 750 SPORT
L3e,Suzuki,GSF650
L3,Honda,NES125-JF07B/125
L1e,Daelim,S-FIVE
L3,Honda,Shadow VT 600
L3,Honda,VF750C
L3e,BMW,R1150R-0429A/1130
L3e,Harley-Davidson,FXDCI DYNA SUPER GLIDE
L3e,Keeway,SUPERLIGHT 125
L3,Harley-Davidson,XL SPORTSTER 1200-CUSTOM-CGP/1199
L1e,Aprilia,SR 50-TEA00/49
L3,Hyosung,GV-250-MJ5/249
L3e,Honda,CBF1000A
L3,Suzuki,RF900R-GT73B/937
L3,Yamaha,XJR1200-4PU /1188
L1,Tunturi,AUTOSTART
L3,Yamaha,XJ900 F
L3,Honda,CBR600F
L3,Harley-Davidson,FXST Softail
L3,Kawasaki,VN 1500 CLASSIC TOURER-VNT50G/1471
L3,Honda,CB500
L3e,KTM,KTM 690 SM
L3,BMW,R25-3 / 245-54
L3,Vespa,Vespa GL 150
L3,Harley-Davidson,FXST
L3,Buell,XB112S-SX14J/1202
L3e,Harley-Davidson,FLHRS ROAD KING CUSTOM
L3,Kawasaki,900 SUPER 4-Z1
L3,BMW,R 1150 GS
L1,Sanili,SUNNY 50-TSTBH/49
L3,BMW,R100RS
L3,Harley-Davidson,FXDX DYNA SUPER GLIDE SPORT-GJV/1449
L1,Solifer,SM-77
L1e,Motorhispania,RYZ SM
L3e,Yamaha,DT 250
L1,Tunturi,LF2
L3,Harley-Davidson,FXDL DYNA LOW RIDER-GDV/1450
L3,Vespa,Primavera 125
L3e,BMW,R1150GS ADVENTURE-0441A/1130
L3,Cagiva,NAVIGATOR-M500AA/996
L3e,Cagiva,RAPTOR 650
L3,Honda,CBR900RR-SC33
L3,Yamaha,XS650SE
L3e,Jawa 650,CLASSIC
L3,Harley-Davidson,FLHRCI Road King Classic
L3,Jawa,350 CHOPPER-639-2/343
L3,Suzuki,SUZUKI GT380
L3,BSA,650 MS FLASH/142
L3e,KTM,450
L3,Suzuki,GSX-R600-BG1112/599
L3,Harley-Davidson,Shovelhead
L3,Kawasaki,EL 252-EL250B/253
L3,Piaggio,X9 250-M23/249
L3,Ducati,996
L3,Honda,GOLD WING
L3,BMW,R 80 ST
L3e,Kawasaki,ZZ R1200
L1,Tunturi,MAXI-PUCH VS50 LF/49
L3,Ducati,SUPERSPORT 1000-V503AA/992
L1e,Motorhispania/MHMotorcycle,RYZ/RYZ TOP
L3,Honda,VF 1000F
L1e,Motorhispania,RYZ TL
L1,Honda,Monkey Z50J
L3,Jawa,18-350
L3,Husqvarna,WR125-2H00AA/124
L3,Suzuki,GT 125/124
L1,Suzuki,PV
L3e,Suzuki,SV650S
L1,Suzuki,UF50 ESTILETE-BA1111/49
L3,Suzuki,Cavalcade LX
L3e,Buell,BUELL FIREBOLT
L3,MZ,ES 175
L3e,Kymco,MOVIE 125
L3,Suzuki,INTRUDER 1400-VX51L/1360
L3,Irbit Motorcycle Plant,IMZ-8.1238-8123/745
L3e,Suzuki,GSF1250A
L3,Husqvarna,SM 450 R-H802AB/448
L3,Yamaha,STREET DS 7
L3e,Yamaha,FZ1-N
L1,Solifer,Speed SM-75 Tomos 4V/49
L3,Suzuki,VS800GLP
L3,Honda,VFR 800 FI-RC46
L3,Yamaha,TR1-XV1000-5A8/981
L3,Piaggio,VESPA ET4 125-M19/124
L1,Tunturi,VS50LF
L3,Harley-Davidson,FLSTS HERITAGE SOFTAIL SPRINGER-BRY/1449
L3,Ducati,ST4
L3e,Harley-Davidson,FXDF DYNA FAT BOB
L3e,Yamaha,FZ6-N FAZER
L3,Ducati,749-H500AA/748
L3,Yamaha,WR250F-CG11W/249
L3,Yamaha,XJ650
L1,Tunturi,TUNTURI PAPPA
L3,Yamaha,FJR 1300
L3e,Royal Enfield,BULLET DB 500 5SG
L3,Honda,VF700C-RC21/698
L3,Cagiva,RAPTOR-M200AA/996
L3,Harley-Davidson,FLSTF FAT BOY-BMY/1449
L3,Suzuki,Intruder
L2,Erkkola,moe 5-50ma
L3,Kymco,STRYKER 125-AF25AB/124
L3,Triumph,SPRINT RS-695-TF651X/955
L3,Peugeot,VIVACITY 100-S2AC0A/100
L1,Tunturi,Start-Puch
L3,Honda,VF1000 F-II
L3e,Daelim,VJ125
L3,Honda,CB 750 K
L3e,Aprilia,ATLANTIC 125-SP002/124
L1e,Aprilia,RX50-STB00/50
L1e,Jmstar,JSD50QT-27
L3,BMW,R 1150 R ROCKSTER-0308A/1130
L3e,Harley-Davidson,FLHTCUI ELECTRA GLIDE
L3e,Kawasaki,KLV1000
L3,BMW,K 100 RS
L1,Sanili,SUNNY 50-TSTBD/49
L3,Honda,CB400N
L3,Cagiva,ELEFANT 750
L1e,Derbi,GPR 50 RACING
L1e,Derbi,GP1 50
L3,Jawa,553
L3,Piaggio,X9 500 EVOLUTION-M27103/459
L3,Honda,CX500/496
L1e,ZhongNeng,ZN50QT-7A
L3,Honda,VFR 750
L1e,Derbi,SENDA R X-TREM
L1,Tunturi,START-PUCH VS 50 KX
L3,Aprilia,SL 1000-PA00/997
L3,Honda,HONDA CB 750K-RC 01
L3e,Kinroad,BLACK CYCLONE
L3,Harley-Davidson,j-1000
L3e,Harley-Davidson,VRSCB V-ROD-HBZ/1131
L1,Gas Gas,EC 50 ROOKIE-EC0501/49
L3,Honda,Gold Wing GL 1500
L1,Suzuki,Solifer-PV50/50-
L3,Kawasaki,VN 800 CLASSIC-VN800A/805
L3,Yamaha,YP250 MAJESTY-SG041/250
L3,Harley-Davidson,SOFTAIL
L3,Honda,ST 1100 PANEUROPEAN
L3e,Vulcan,VULCAN SUPERMOTO 125-TSJJS/124
L3,IMZ,M72
L3,Yamaha,FZR1000
L1,Peugeot,G1AA10/50
L3,Honda,GL500
L1e,Peugeot,A1AAJA/50
L3,BMW,R100CS-247
L3,Honda,CB900
L3,Suzuki,GSX600R
L1,Aprilia,MOJITO 50 CUSTOM-PKE1/49
L3,Honda,CBR900RR-SC44B/929
L3,Kawasaki,GPZ 750-ZX750A/738
L3e,Harley-Davidson,FXDXI DYNA SUPER GLIDE SP
L3,Harley-Davidson,FLHTC
L3,Jawa-CZ,CZ
L3,Aprilia,RSV 1000-RP003
L3,Yamaha,XJ900-31A
L3,Honda,Africa Twin XRV750
L3e,Harley-Davidson,XL 1200R SPORTSTER 1200 R
L3e,Kymco,ZING 125 II-RF25BC/125
L3,Triumph,DAYTONA 955I-595-TE5
L3e,Harley-Davidson,FLSTFSE2 SCREAMIN� EAGLE
L3,Aprilia,RSV 1000-RP012/997
L1,Peugeot,G1AAE0/50
L3,Honda,CBR 1100
L3,Honda,GOLD WING GL 1100-SC02/1085
L3,Suzuki,RG125
L3e,KTM,640 ADVENTURE-GSN4/625
L3,MV Agusta,F4 S-F400AA/749
L3e,KTM,525 EXC
L3e,Kawasaki,VN900 CUSTOM
L1,Jupiter,Swing
L1,Yamaha,AEROX
L3,Peugeot,SPEEDFIGHT2 100-S2AB00/100
L3,BMW,R65
L3,BSA,C11
L3,Honda,CX 500C
L3,Harley-Davidson,FLST SOFTAIL
L1,Solifer,Speed 68
L3,BMW,R100 GS
L3e,Qingqi,QINGQI
L1,Tunturi,Super Sport
L3,Peugeot,S2ABK0/100
L3,Yamaha,FZR 600
L1,Solifer,Thermomat
L3,Yamaha,XS 1100 S
L3e,Harley-Davidson,FXDWGI DYNA WIDE GLIDE
L3e,BMW,G 650 XMOTO
L3,Triumph,955I DAYTONA
L3,Yamaha,XV 1100 Virago
L1,Jupiter,50
L1e,Aprilia,MOJITO 50
L3,Ducati,SPORT 800-V502AA/803
L1,Solifer,Export
L3,Yamaha,XQ125 MAXTER-SE051/124
L1,Helkama,Raisu
L3e,BMW,R26/245
L1,Tunturi,DX
L3,Honda,MBX 125F-JC10/124
L1,Yamaha,BWS CW50-4LJ
L3,Piaggio,HEXAGON 180-M20201/182
L1,Standard Moto,NAVIGATOR NAF50/49
L3,Jawa-CZ,356 / 172
L3,BMW,R 850 C-0421A/848
L3,Harley-Davidson,FL
L3,AJS,31
L3,Honda,TRANSALP 600
L3,Honda,Super Sport CBX 1000
L1e,Peugeot,S1CAAA/50
L3,Yamaha,XJ-900
L3,Triumph,SPRINT ST-695-TF600M/955
L3,Honda,CB 750
L3,Gilera,RUNNER 125 VX-M24/124
L3,Suzuki,GS 500 E
L3e,Honda,CB 900 F
L3,Harley-Davidson,Softail Custom
L1,Tunturi,TIGER
L3,Yamaha,XVS1100A
L3e,Honda,XL125V
L3,NSU,Supermax 250
L1,Tunturi,L�hetti Automat-VS50 KA-71/49
L3,Suzuki,GSX750ES
L1,Tunturi,PL 38
L3e,KTM,625 SXC-GSE4/625
L1,Helkama,RAISU
L3,Yamaha,XP500 TMAX-SJ011/499
L3,BMW,R 1150 RS-0447A/1130
L3,Ase,Capri 87
L3,Cagiva,CANYON 500-M100AA/497
L3,BMW,C1-2-0191A/125
L3,Yamaha,XT 600
L3,KMZ,K-750
L1,Solifer,EXPORT
L3,Vespa,Primavera
L3,Kawasaki,VN 750
L3,Yamaha,XVZ13TF ROYAL STAR VENTURE
L3,Yamaha,RD125 LC
L3e,Ducati,HYPERMOTARD 1100
L3,Honda,CB750K/736
L3,Kawasaki,ELIMINATOR
L3e,BMW,K1200 RS
L1,Honda,X8R-X
L3e,Harley-Davidson,FLHXI STREET GLIDE
L1e,Beta,RR STANDARD 50CC
L3,Honda,MBX 125F
L3e,Harley-Davidson,FXDLI DYNA LOW RIDER
L3,BMW,R100R
L3e,KTM,KTM 450 EXC-R
L3e,BMW,R 1150 R
L3,Yamaha,VMX 1200
L3,BMW,F650CS-0174A/652
L1,Derbi,Atlantis
L3,Ducati,MONSTER S4R-M405AA/996
L3,Vespa,Vespa Super Sport
L1,Solifer,Automatic-Tomos A 32KS-P5
L1,Tunturi,VAKIO
L3,Kawasaki,ZZ-R 1100-ZXT10C/1052
L3,Suzuki,T250
L3,Moto Guzzi,V35 FLORIDA-PK/349
L1,Solifer,SOLIFER SUZUKI PV50/49
L1,Suzuki,solifer-pv50
L3,Yamaha,XJ900S
L1,Honda,SRX50 SHADOW
L1,Suzuki,SOLIFER R-PV50
L1,Tunturi,TUNTURI
L3,Moto Guzzi,SPORT 1100i
L3,Ducati,MONSTER 900-M200AA/904
L3,Honda,VT750C2-SHADOW-RC44
L3,Gilera,DNA125-M26/124
L3,Harley-Davidson,HERITAGE SOFTAIL
L3,Suzuki,LS650
L1,Suzuki,SOLIFER-PV50
L1,Solifer,Export Thermomat
L3,Yamaha,XT600Z TENERE
L3,Triumph,BONNEVILLE AMERICA
L3,AWO,425 T
L3,Yamaha,XVS650A DRAG STAR
L3e,Suzuki,INTRUDER
L3,Yamaha,XVZ13TF ROYAL STAR VENTURE-VP09/1294
L3,Honda,Custom
L1,Yamaha,AEROX YQ50-5BR/49
L3,Harley-Davidson,XLH SPORTSTER 1200
L3,Honda,CB1100F SUPER BOL D'OR
L3,Honda,CB 750 K7
L3e,Ducati,MULTISTRADA 620
L3e,KTM,660 SMC-EXE4/654
L1,Tunturi,TUNTURI 50 LF/49
L3e,Kawasaki,VN 900 CUSTOM
L3,Derbi,BOULEVARD-BL2A1A/124
L3e,BSA,Super Rocket A10/646
L3e,Harley-Davidson,FLHTCUSE2 SCREAMIN' EAGLE
L3e,Harley-Davidson,VRSCDXA NIGHT ROD SPE ABS
L3,Yamaha,XJ750
L3e,Suzuki,GS500U-BK4111/487
L1,SKYTEAM,SKYTEAM SUPERMOTO
L1,Tunturi,(AUTO) Start
L3e,Suzuki,DL1000-BS1111/996
L3,Suzuki,GSX
L1,Tunturi,MAXI - PUCH VS50 LF/49
L3,BMW,K75S
L3,IWL,BERLIN
L1,CPI,JP45/49
L3,Honda,CBR600F-PC35D
L1,Solifer,S
L3,Suzuki,GT 550 - K
L3,Kawasaki,VN 1500 CLASSIC FI-VNT50N/1471
L3e,Suzuki,T250J
L3e,BMW,R1150RT-0419A/1130
L3,Yamaha,FZS 600
L3e,Harley-Davidson,VRSCB V-ROD
L1,Aprilia,SR 50-RLD1/49
L3,MZ,SKORPION 660 TRAVELLER-6TE2/660
L3,Yamaha,XC125 BELUGA
L3,Harley-Davidson,63-XLH Sportster H
L1,Peugeot,SPEEDFIGHT2 LND-X-RACE-S1B0KB/49
L3,Honda,VARADERO-SD02B/996
L3,Yamaha,TW125-DE054/125
L3,Kawasaki,ZEPHYR 550
L3,Husqvarna,SM 125-H200AB/124
L3,BMW,XVC
L3,Triumph,bonneville
L3,Kawasaki,ZEPHYR 750 /738
L3,KTM,300 EXC-GSA2/297
L3,Honda,GL 1100
L2,Piaggio,APE50-TL5T/49
L3,Harley-Davidson,FLHR ELECTRA GLIDE ROAD K
L3e,Suzuki,GSX-R750-CF1111/750
L3e,Aprilia,ETV 1000 CAPO NORD-PS001/998
L3e,Honda,CB 750/736
L3,Kawasaki,ER5
L1e,Yamaha,YN50
L3,Honda,CB SEVEN FIFTY
L3e,Suzuki,GSF1200
L3e,Harley-Davidson,XLH SPORSTER 883-CAM/883
L3,Honda,Shadow
L3e,KTM,450 EXC
L3e,Hyosung,COMET
L3,Honda,CB 350 FOUR
L3,Triumph,DAYTONA 600I-TH835S/600
L3,Yamaha,XTZ 660 TENERE
L3,BMW,K100RS
L3,Suzuki,GS 1000 S
L3,Husqvarna,WR250-3H00AB/249
L3,Yamaha,750 TENERE - XTZ750 - 3LD/749
L3,Moto Guzzi,CALIFORNIA II
L1,Tunturi,AUTOSTART-PUCH VS50KA/49
L3,Kawasaki,ZG 1300
L3e,KTM,KTM 530 EXC-R
L3,KTM,525 EXC-RCA4/510
L3,Kawasaki,Z 650
L3e,Buell,BUELL LIGHTNING CITY X
L3,Suzuki,GSF600N
L3,Suzuki,DR650 RS
L3,Honda,GOLD WING GL 1500
L1e,Tunturi,Start VS50KX
L1e,Ego Vehicles,HELIO
L3,Honda,VT 500
L1,Aprilia,SR 50-RLA1/49
L3,Honda,CX500
L3e,Royal Enfield,G
L3,Harley-Davidson,FXR
L3,Honda,CX500C-PC01
L3,KTM,125 EXC-GSA2/124
L3,Yamaha,XJR1200
L3,Harley-Davidson,FXDL DYNA LOW RIDER-GDV/1449
L3,Yamaha,V-max
L1,Aprilia,RX50 SM-STA00/50
L1,Honda,Z50
L3,Yamaha,ROYAL STAR VENTURE
L1,FACTORY BIKE,FACTORY BIKE
L3,Honda,CBR 900 RR
L3,Honda,GOLDWING
L3,BMW,K75
L3,Kawasaki,VN 1500 DRIFTER-VNT50J/1471
L1,Honda,Z50J-AB02/49 Monkey
L3,Kawasaki,ZRX1200-ZRT20A/1165
L1,Atala,A6A100/49
L3,Harley-Davidson,XLH SPORTSTER 1200-CAP/1199
L1,Honda,(MONKEY) Z50J
L3,Honda,XBR 500
L3,Ducati,Monster
L1e,Jawa,PIONYR
L3,Suzuki,DR 650
L3,Honda,VRF750F
L3,Kawasaki,GPZ
L1,MZ,CHARLY-1ER000-24V 750W
L1,Peugeot,SPEEDFIGHT LCDX TEAM-S1B00B/49
L1,Aprilia,SR 50-RL01/49
L3,Yamaha,XJ900
L1,Tunturi,sport
L1,Suzuki,SOLIFER PV50
L3,Honda,CBR600F-PC25/599
L3,Aprilia,RSV 1000-RPB00/997
L1e,Kinroad,STREET50
L3,Husqvarna,Husky 250 8-Speed
L3,EMW,R 35/3
L3e,Harley-Davidson,FLSTSCI SOFTAIL SPRINGER
L3,Kawasaki,KAWASAKI KZ 550 B
L3,Yamaha,IT 200-49U/195
L3,Honda,VTR1000SP-2-SC45A/999
L3,Triumph,SPEED TRIPLE-595-TE508M/955
L1,Solifer,Automaatti
L3,Yamaha,XJ600S
L3,Suzuki,GXS-F 600
L3,Piaggio,HEXAGON LXT 180-M06/176
L1,Kymco,SPACER 50-SH10AC/49
L1e,Zedka,REBEL49
L3,BMW,R 1150 RT
L1,Helkama,�ss�
L3,Aprilia,RSV1000
L3,Yamaha,TDM 900-RN084/897
L1,Tunturi,Maxi VS50LF
L1,MBK,NITRO
L3,Peugeot,A2ABJD/125
L3,Kawasaki,900 Super Four
L3e,Suzuki,GSX-R600X
L1e,Derbi,BLACK DEVIL
L3,Harley-Davidson,FXE
L3,Honda,XL500S
L3,Honda,VTR 1000F
L3,Yamaha,RD 350 LC 2
L3,Moto Guzzi,California III
L3,Yamaha,XV 535 Virago
L3,Moto Guzzi,Le Mans 1000
L3e,MV Agusta,F4 BRUTALE 910
L3,BMW,C1
L3,Honda,CB750K-RC01/748
L1,Tunturi,SPORT-PUCH VS50 KX3/49
L3,Norton,COMMANDO 850MK3
L3,Kawasaki,MACH IV-750
L3e,Baotian,BAOTIAN HERO 125
L1,Honda,PX 50 SF-AB05
L1,SMC,NAVIGATOR 50-SMNAF/49
L3e,Honda,XL1000V
L1,Rieju,MRX/49
L3e,BMW,R 1200 R
L1,Tunturi,Maxi-Puch LF/46
L2,Piaggio,APE 50 KAT-C80/50
L1,Piaggio,CIAO C7E2T/49
L3,BMW,F650GD-0173A/652
L3,Ducati,Supersport 750
L3,Honda,CBR 900
L3,Ducati,Monster 620 Dark
L3,DKW,NZ 250
L1,Derbi,GPR 50-GPRREB/49
L1,Jincheng,JC 50Q-5/49
L1,Helkama,�SS�
L3,Harley-Davidson,SPRINGER SOFTTAIL
L3,Suzuki,GS 1100 G
L3,Suzuki,AN650 BURGMAN-BU1111/638
L3,Honda,XL250R
L3,Harley-Davidson,Shovel
L3,Piaggio,HEXAGON 180-M20/182
L3,Suzuki,VZ
